date,result,lead_dist
2023-03-30,SB,11.4
2023-04-03,CS,9.5
2023-04-04,SB,12.6
2023-04-07,SB,9.2
2023-04-07,SB,9.3
2023-04-09,SB,11.6
2023-04-12,CS,10.2
2023-04-16,SB,23.6
2023-04-16,PK,
2023-04-19,SB,8.8
2023-04-22,SB,18.0
2023-04-22,SB,12.5
2023-04-22,SB,19.7
2023-04-23,SB,12.5
2023-04-25,SB,17.8
2023-05-02,SB,11.6
2023-05-04,SB,14.0
2023-05-13,SB,17.1
2023-05-13,SB,11.7
2023-05-17,SB,10.3
2023-05-23,SB,11.5
2023-05-25,SB,20.3
2023-05-28,CS,12.7
2023-06-02,CS,11.8
2023-06-04,SB,15.5
2023-06-07,BK,2.4
2023-06-07,SB,17.8
2023-06-07,SB,10.7
2023-06-14,SB,11.1
2023-06-14,CS,8.4
2023-06-16,SB,12.5
2023-06-23,SB,9.8
2023-06-24,SB,8.2
2023-06-25,SB,17.8
2023-06-28,SB,11.1
2023-06-30,SB,11.1
2023-07-02,SB,16.5
2023-07-02,SB,13.0
2023-07-03,SB,9.8
2023-07-04,SB,12.8
2023-07-14,SB,11.1
2023-07-15,SB,9.3
2023-07-18,SB,10.9
2023-07-23,SB,14.8
2023-07-28,SB,11.8
2023-07-29,PK,
2023-07-29,SB,11.5
2023-07-30,SB,13.4
2023-08-05,SB,9.6
2023-08-06,SB,12.1
2023-08-12,SB,10.3
2023-08-13,SB,9.8
2023-08-20,SB,17.6
2023-08-22,SB,10.2
2023-08-23,CS,11.7
2023-08-26,SB,19.2
2023-08-28,SB,8.7
2023-08-31,SB,14.2
2023-09-09,SB,10.4
2023-09-09,CS,9.4
2023-09-11,CS,9.7
2023-09-11,SB,11.4
2023-09-13,SB,9.7
2023-09-19,SB,13.3
2023-09-27,SB,12.6
2023-09-27,SB,12.5
2023-09-28,CS,7.4
2023-09-29,SB,9.4
2023-09-29,SB,10.6
2023-09-30,SB,9.7
